H;1;0.09
H2;2;0.09
He;4;0.18
Li;7;0.5
Be;9;1.85
B;11;2.34
C;12;1.95
N;14;1.25
N2;28;1.25
O;16;1.43
O2;32;1.43
F;19;1.7
F2;38;1.7
Ne;20;0.9
Na;23;0.97
Mg;24;1.74
Al;27;2.7
Si;28;2.33
P;30;1.82
S;32;1.92
Cl;35;3.2
Cl2;70;3.2
Ar;40;1.78
K;39;0.89
Ca;40;1.55
H2O;18;1
NH3;17;0.0000771
HF;20;0.00115
CO2;44;1.98
Ag(NO3)2;232;4.35
CH2;14;0.98
CH4;16;0.000656
CuSO4;160;3.6
H2SO4;98;1.84
HNO3;63;1.51
CuO;80;6.31
CaCO3;100;2.71
C2H2;26;0.0011
C2H4;28;0.00000118
C2H6;30;0.00136
C3H4;40;0.53
C3H6;42;0.00181
C3H8;44;0.00201
C4H6;54;0.615
C4H8;56;0.62
C4H10;58;0.00248
C5H8;68;0.681
C5H10;70;0.751
C5H12;72;0.626
C6H6;78;0.876
C6H10;82;0.811
C6H12;84;0.779
C6H14;86;0.655
